,Unnamed: 0_x,Unnamed: 0.1,OBJECTID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,SOURCE_REPORTING_UNIT,FIRE_NAME,FIRE_YEAR,DATE_x,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE_x,LONGITUDE_x,OWNER_CODE,OWNER_DESCR,STATE,COUNTY,FIPS_NAME,Shape,merging,Unnamed: 0_y,STATION,STATION_NAME,ELEVATION,LATITUDE_y,LONGITUDE_y,DATE_y,DLY-GRDD-BASE40,DLY-GRDD-BASE45,DLY-GRDD-BASE50,DLY-GRDD-BASE55,DLY-GRDD-BASE57,DLY-GRDD-BASE60,DLY-GRDD-BASE65,DLY-GRDD-BASE70,DLY-GRDD-BASE72,DLY-GRDD-TB4886,DLY-GRDD-TB5086,DLY-CLDD-BASE45,DLY-CLDD-BASE50,DLY-CLDD-BASE55,DLY-CLDD-BASE57,DLY-CLDD-BASE60,DLY-CLDD-NORMAL,DLY-CLDD-BASE70,DLY-CLDD-BASE72,DLY-HTDD-BASE40,DLY-HTDD-BASE45,DLY-HTDD-BASE50,DLY-HTDD-BASE55,DLY-HTDD-BASE57,DLY-HTDD-BASE60,DLY-HTDD-NORMAL,DLY-PRCP-25PCTL,DLY-SNWD-25PCTL,DLY-SNOW-25PCTL,DLY-PRCP-50PCTL,DLY-SNWD-50PCTL,DLY-SNOW-50PCTL,DLY-PRCP-75PCTL,DLY-SNWD-75PCTL,DLY-SNOW-75PCTL,MTD-PRCP-NORMAL,MTD-SNOW-NORMAL,YTD-PRCP-NORMAL,YTD-SNOW-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNWD-PCTALL-GE001WI,DLY-SNWD-PCTALL-GE010WI,DLY-SNWD-PCTALL-GE003WI,DLY-SNWD-PCTALL-GE005WI,DLY-SNOW-PCTALL-GE001TI,DLY-SNOW-PCTALL-GE010TI,DLY-SNOW-PCTALL-GE100TI,DLY-SNOW-PCTALL-GE030TI,DLY-SNOW-PCTALL-GE050TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV,longLatOLS
0,66041,1067487,1067488,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,25                       ,2010,2010-05-19 ,139,,2.0,Equipment Use,,,,70.0,C,36.766999999999996,-121.303,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\xc0\x07\x1bCeS^\xc0\x18\xd3C<+bB@\xc0\x07\x1bCeS^\xc0\x18\xd3C<+bB@|\x01\x00\x00\x00\xc0\x07\x1bCeS^\xc0\x18\xd3C<+bB@\xfe',0,70948,GHCND:USC00045933,MOUNT HAMILTON CA US,1282,37.34361,-121.6425,2010-05-19,16,11,7,4,3,2,1,-7777,-7777,10,9,11,7,4,3,2,1,-7777,-7777,-7777,1,2,3,5,6,10,0.04,-9999,-66.6,0.12,-9999,-66.6,0.25,-9999,-66.6,0.78,0.0,15.95,14.3,155,89,15,4,0,0,0,0,1,0,0,0,0,55.9,15.1,63.4,48.3,9.7,5.0,9.9,10.3,
1,66042,1067488,1067489,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,BOLADO                   ,2010,2010-06-08 ,159,,9.0,Miscellaneous,,,,0.5,B,36.777,-121.311,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\xd0\xb7\x92>\xe9S^\xc0\x00NX\xearcB@\xd0\xb7\x92>\xe9S^\xc0\x00NX\xearcB@|\x01\x00\x00\x00\xd0\xb7\x92>\xe9S^\xc0\x00NX\xearcB@\xfe',1,80093,GHCND:USW00093243,MERCED 23 WSW CA US,23.8,37.2381,-120.8825,2010-06-08,28,23,18,13,11,8,4,1,-7777,19,18,23,18,13,11,8,4,1,-7777,0,0,0,0,-7777,-7777,1,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,0.06,-9999.0,7.31,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,68.0,39.6,87.8,48.2,-9999.0,-9999.0,-9999.0,-9999.0,
2,66043,1067489,1067490,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,SANTA ANA RD  HOLLISTER  ,2010,2010-06-12 ,163,,9.0,Miscellaneous,,,,0.1,A,36.856,-121.381,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\xe4e\xda\x1fdX^\xc0\xa0\x98\x81\x0c\x95mB@\xe4e\xda\x1fdX^\xc0\xa0\x98\x81\x0c\x95mB@|\x01\x00\x00\x00\xe4e\xda\x1fdX^\xc0\xa0\x98\x81\x0c\x95mB@\xfe',2,68417,GHCND:USW00093228,HAYWARD AIR TERMINAL CA US,13.1,37.6542,-122.115,2010-06-12,23,18,13,8,6,4,1,-7777,-7777,15,13,18,13,8,6,4,1,-7777,-7777,0,0,0,0,-7777,-7777,3,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,0.12,-9999.0,11.31,-9999.0,31,13,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.2,16.8,71.6,54.8,4.6,6.7,7.6,2.8,
3,66044,1067490,1067491,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,HOSPITAL                 ,2010,2010-06-14 ,165,,9.0,Miscellaneous,,,,0.1,A,36.818000000000005,-121.391,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00T\xa3\xe4\xf6\x07Y^\xc0\xe0\xc7T\x0b\xb6hB@T\xa3\xe4\xf6\x07Y^\xc0\xe0\xc7T\x0b\xb6hB@|\x01\x00\x00\x00T\xa3\xe4\xf6\x07Y^\xc0\xe0\xc7T\x0b\xb6hB@\xfe',3,141054,GHCND:USC00048999,TRACY CARBONA CA US,41.1,37.681940000000004,-121.34666999999999,2010-06-14,31,26,21,16,14,11,6,3,2,21,20,26,21,16,14,11,6,3,2,0,0,0,-7777,-7777,-7777,-7777,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,0.1,-9999.0,8.52,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,71.2,32.7,87.5,54.8,-9999.0,-9999.0,-9999.0,-9999.0,
4,66045,1067491,1067492,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,HWY 101  S/ HWY 129      ,2010,2010-07-11 ,192,,9.0,Miscellaneous,,,,1.0,B,36.883,-121.56200000000001,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\x04\xfe\xcf\xe5\xf6c^\xc0\x98\xe6\xd9\xf6\x07qB@\x04\xfe\xcf\xe5\xf6c^\xc0\x98\xe6\xd9\xf6\x07qB@|\x01\x00\x00\x00\x04\xfe\xcf\xe5\xf6c^\xc0\x98\xe6\xd9\xf6\x07qB@\xfe',4,136701,GHCND:USC00045119,LOS BANOS ARBURUA RANCH CA US,262.1,36.88056,-120.94222,2010-07-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,0.01,0.0,5.81,0.0,7,2,-9999,0,0,0,0,0,0,0,0,0,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,
5,66046,1067492,1067493,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,FAIRVIEW                 ,2010,2010-07-29 ,210,,5.0,Debris Burning,,,,0.3,B,36.936,-121.38799999999999,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\x00\x12\xf2\xe6\xd5X^\xc0\xb0o%}\xd2wB@\x00\x12\xf2\xe6\xd5X^\xc0\xb0o%}\xd2wB@|\x01\x00\x00\x00\x00\x12\xf2\xe6\xd5X^\xc0\xb0o%}\xd2wB@\xfe',5,135989,GHCND:USC00045118,LOS BANOS CA US,36.6,37.0563,-120.8666,2010-07-29,40,34,29,24,22,19,14,10,8,26,24,34,29,24,22,19,14,10,8,0,0,0,0,0,0,-7777,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,0.02,0.0,6.57,0.0,5,2,0,0,0,0,0,0,0,0,0,0,0,79.5,32.9,96.0,63.0,5.3,4.2,6.0,5.4,
6,66047,1067493,1067494,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,FREEMONT                 ,2010,2010-09-11 ,254,,2.0,Equipment Use,,,,0.5,B,36.758,-121.50299999999999,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\x8c\xd4\xe7\x0f2`^\xc0\x98\xe6\xd9\xf6\x07aB@\x8c\xd4\xe7\x0f2`^\xc0\x98\xe6\xd9\xf6\x07aB@|\x01\x00\x00\x00\x8c\xd4\xe7\x0f2`^\xc0\x98\xe6\xd9\xf6\x07aB@\xfe',6,2078,GHCND:USC00044997,LIVERMORE CA US,146.3,37.69222,-121.76917,2010-09-11,31,26,21,16,14,11,6,2,2,21,19,26,21,16,14,11,6,2,2,0,0,0,0,0,-7777,-7777,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,-6.66,-9999,-9999.0,0.04,0.0,9.78,0.0,34,16,3,0,0,0,0,0,0,0,0,0,0,71.0,31.0,86.5,55.5,5.0,7.9,8.1,4.0,
7,66058,1067504,1067505,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,HOSPITAL                 ,2010,2010-03-16 ,75,,9.0,Miscellaneous,,,,0.1,A,36.818000000000005,-121.391,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00T\xa3\xe4\xf6\x07Y^\xc0\xe0\xc7T\x0b\xb6hB@T\xa3\xe4\xf6\x07Y^\xc0\xe0\xc7T\x0b\xb6hB@|\x01\x00\x00\x00T\xa3\xe4\xf6\x07Y^\xc0\xe0\xc7T\x0b\xb6hB@\xfe',7,142059,GHCND:USC00046336,OAKLAND MUSEUM CA US,9.1,37.79833,-122.26417,2010-03-16,16,11,6,2,1,1,-7777,-7777,0,9,7,11,6,2,1,1,-7777,-7777,0,0,-7777,-7777,1,2,4,9,0.06,-9999,-9999.0,0.21,-9999,-9999.0,0.51,-9999,-9999.0,2.04,0.0,11.25,0.0,331,223,84,13,0,0,0,0,0,0,0,0,0,56.2,15.3,63.9,48.5,4.4,5.8,6.3,4.0,
8,66059,1067505,1067506,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,HWY 101  S/ HWY 129      ,2010,2010-05-01 ,121,,9.0,Miscellaneous,,,,1.0,B,36.883,-121.56200000000001,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\x04\xfe\xcf\xe5\xf6c^\xc0\x98\xe6\xd9\xf6\x07qB@\x04\xfe\xcf\xe5\xf6c^\xc0\x98\xe6\xd9\xf6\x07qB@|\x01\x00\x00\x00\x04\xfe\xcf\xe5\xf6c^\xc0\x98\xe6\xd9\xf6\x07qB@\xfe',8,104875,GHCND:USC00047150,PRIEST VALLEY CA US,701.0,36.18833,-120.69528,2010-05-01,16,11,7,3,2,1,-7777,-7777,-7777,13,12,11,7,3,2,1,-7777,-7777,-7777,0,-7777,-7777,2,3,5,9,0.07,-9999,-9999.0,0.18,-9999,-9999.0,0.36,-9999,-9999.0,0.03,0.0,13.87,0.2,112,77,18,5,0,0,0,0,0,0,0,0,0,56.1,37.1,74.7,37.5,6.0,10.3,9.5,5.9,
9,66060,1067506,1067507,NONFED,ST-CACDF,ST/C&L,USCABEU,CABEU,SAN ARDO                 ,2010,2010-06-23 ,174,,9.0,Miscellaneous,,,,16.0,C,35.953,-120.867,14.0,MISSING/NOT SPECIFIED,CA,,,b'\x00\x01\xad\x10\x00\x00\xecO\x88\x04|7^\xc0\xc0Bi\xb9\xfd\xf9A@\xecO\x88\x04|7^\xc0\xc0Bi\xb9\xfd\xf9A@|\x01\x00\x00\x00\xecO\x88\x04|7^\xc0\xc0Bi\xb9\xfd\xf9A@\xfe',9,14043,GHCND:USW00093206,SAN LUIS OBISPO MCCHESNEY FIELD CA US,61.0,35.23722,-120.64139,2010-06-23,24,19,14,9,7,4,1,-7777,-7777,16,14,19,14,9,7,4,1,-7777,-7777,0,0,0,-7777,-7777,-7777,2,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,-9999.0,-9999,-9999.0,0.06,-9999.0,12.06,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63.8,23.6,75.6,52.0,3.4,6.4,5.4,3.9,
